Title,Image_full,Image_thumb,Type,Job,Element,Cost,Serial Type,Power,Category,Set,Code
Chaos,https://fftcg.cdn.sewest.net/images/cards/full/B-001_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-001_eg.jpg, Backup, God of Chaos,dark, 2, B, , DFF · I, Boss Deck Chaos, B-001
Spiritus,https://fftcg.cdn.sewest.net/images/cards/full/B-002_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-002_eg.jpg, Backup, God,dark, 4, B, , DFF, Boss Deck Chaos, B-002
Garland,https://fftcg.cdn.sewest.net/images/cards/full/B-003_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-003_eg.jpg, Forward, Knight,fire, 5, B, 10000, DFF · I, Boss Deck Chaos, B-003
Zenos,https://fftcg.cdn.sewest.net/images/cards/full/B-004_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-004_eg.jpg, Forward, General,exburst, 4, B, 10000, XIV, Boss Deck Chaos, B-004
Nael,https://fftcg.cdn.sewest.net/images/cards/full/B-005_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-005_eg.jpg, Forward, General,exburst, 6, B, 9000, XIV, Boss Deck Chaos, B-005
Orphan,https://fftcg.cdn.sewest.net/images/cards/full/B-006_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-006_eg.jpg, Forward, Fal'Cie,exburst, 6, B, 9000, XIII, Boss Deck Chaos, B-006
Shadow Lord,https://fftcg.cdn.sewest.net/images/cards/full/B-007_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-007_eg.jpg, Forward, Kindred,earth, 2, B, 9000, XI, Boss Deck Chaos, B-007
Golbez,https://fftcg.cdn.sewest.net/images/cards/full/B-008_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-008_eg.jpg, Forward, Warlock,exburst, 8, B, 9000, DFF · IV, Boss Deck Chaos, B-008
Garland,https://fftcg.cdn.sewest.net/images/cards/full/B-009_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-009_eg.jpg, Forward, Knight,lightning, 3, B, 9000, DFF · I, Boss Deck Chaos, B-009
Feral Chaos,https://fftcg.cdn.sewest.net/images/cards/full/B-010_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-010_eg.jpg, Forward, Utter Pandemonium,dark, 5, B, 10000, DFF · I, Boss Deck Chaos, B-010
Sin,https://fftcg.cdn.sewest.net/images/cards/full/B-011_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-011_eg.jpg, Forward, Final Aeon,ability, 9, B, 9000, X, Boss Deck Chaos, B-011
Cloud of Darkness,https://fftcg.cdn.sewest.net/images/cards/full/B-012_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-012_eg.jpg, Forward, Wraith,dark, 3, B, 7000, DFF · III, Boss Deck Chaos, B-012
The Emperor,https://fftcg.cdn.sewest.net/images/cards/full/B-013_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-013_eg.jpg, Backup, Emperor,exburst, 2, B, , DFF · II, Boss Deck Chaos, B-013
Kefka,https://fftcg.cdn.sewest.net/images/cards/full/B-014_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-014_eg.jpg, Backup, Mage,down, 4, B, , DFF · VI, Boss Deck Chaos, B-014
Seymour,https://fftcg.cdn.sewest.net/images/cards/full/B-015_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-015_eg.jpg, Backup, Summoner,exburst, 4, B, , X, Boss Deck Chaos, B-015
Ultimecia,https://fftcg.cdn.sewest.net/images/cards/full/B-016_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-016_eg.jpg, Backup, Witch,down, 4, B, , DFF · VIII, Boss Deck Chaos, B-016
Ifrit,https://fftcg.cdn.sewest.net/images/cards/full/B-017_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-017_eg.jpg, Summon, ,exburst, 1, B, , FFT, Boss Deck Chaos, B-017
Diabolos,https://fftcg.cdn.sewest.net/images/cards/full/B-018_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-018_eg.jpg, Summon, ,wind, 5, B, , MOBIUS, Boss Deck Chaos, B-018
Odin,https://fftcg.cdn.sewest.net/images/cards/full/B-019_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-019_eg.jpg, Summon, ,exburst, 7, B, , FFT, Boss Deck Chaos, B-019
Leviathan,https://fftcg.cdn.sewest.net/images/cards/full/B-020_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-020_eg.jpg, Summon, ,exburst, 3, B, , FFT, Boss Deck Chaos, B-020
"Zodiark, Keeper of Precepts",https://fftcg.cdn.sewest.net/images/cards/full/B-021_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-021_eg.jpg, Summon,  ,dark, 7, B, , XII, Boss Deck Chaos, B-021
Vayne,https://fftcg.cdn.sewest.net/images/cards/full/B-022_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-022_eg.jpg, Forward, Consul,ability, 4, B, 8000, XII, Boss Deck Chaos, B-022
Kuja,https://fftcg.cdn.sewest.net/images/cards/full/B-023_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-023_eg.jpg, Forward, Genome,exburst, 5, B, 9000, DFF · IX, Boss Deck Chaos, B-023
Ardyn,https://fftcg.cdn.sewest.net/images/cards/full/B-024_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-024_eg.jpg, Forward, Chief Minister,exburst, 5, B, 9000, XV, Boss Deck Chaos, B-024
Galdes,https://fftcg.cdn.sewest.net/images/cards/full/B-025_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-025_eg.jpg, Forward, Archbishop,dark, 3, B, 8000, FFCC, Boss Deck Chaos, B-025
Exdeath,https://fftcg.cdn.sewest.net/images/cards/full/B-026_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-026_eg.jpg, Backup, Wizard,lightning, 6, B, , DFF · V, Boss Deck Chaos, B-026
"Zalera, the Death Seraph",https://fftcg.cdn.sewest.net/images/cards/full/B-027_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-027_eg.jpg, Summon, ,exburst, 4, B, , XII, Boss Deck Chaos, B-027
Sephiroth,https://fftcg.cdn.sewest.net/images/cards/full/B-028_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-028_eg.jpg, Forward, SOLDIER,lightning, 3, B, 10000, VII, Boss Deck FFVII, B-028
President Shinra,https://fftcg.cdn.sewest.net/images/cards/full/B-029_eg.jpg,https://fftcg.cdn.sewest.net/images/cards/thumb/B-029_eg.jpg, Backup, President of Shinra,num, 4, B, , VII, Boss Deck FFVII, B-029
